event_ID	data_type	num_people	num_people_v2	num_records	per_sensitive	per_sensitive_v2	dys_impact	dys_detect	dys_detect_v2	cost_controls	cost_controls_v2
310	Health	58.9	Between 30 to 60 million	54.96	69	High	288	219	Slow	49.44	Low
311	Health	60.42	Between 30 to 60 million	54.96	47	Moderate	373	364	Slow	43.59	Low
312	Personal	50	Between 30 to 60 million	50	19	Low	641	33	Fast	50	Low
313	Intellectual Property	49.29	Between 30 to 60 million	44.75	47	Moderate	925	93	Fast	44.4	Low
314	Health	53.53	Between 30 to 60 million	53.69	47	Moderate	665	541	Slow	67.05	High
315	Identity	49.17	Between 30 to 60 million	42.2	28	Low	701	124	Slow	66.57	High
316	Financial	50.24	Between 30 to 60 million	48.58	28	Low	500	305	Slow	39.98	Low
317	Intellectual Property	53.65	Between 30 to 60 million	56.24	58	Moderate	229	117	Fast	44.4	Low
318	Intellectual Property	40.07	Between 30 to 60 million	42.2	19	Low	374	749	Slow	41.63	Low
319	Financial	44.37	Between 30 to 60 million	37.09	95	High	1709	973	Slow	51.85	High
320	Identity	55.74	Between 30 to 60 million	52.41	2	Low	447	97	Fast	45.46	Low
321	Personal	28.7	Less than 30 million	26.88	19	Low	717	1045	Slow	42.44	Low
322	Intellectual Property	56.56	Between 30 to 60 million	53.69	13	Low	661	353	Slow	67.05	High
323	Authentication Credentials	47.46	Between 30 to 60 million	53.69	47	Moderate	450	479	Slow	50	Low
324	Personal	56.31	Between 30 to 60 million	48.58	95	High	238	543	Slow	42.19	Low
325	Intellectual Property	36.09	Between 30 to 60 million	38.37	69	High	1573	78	Fast	41.4	Low
326	Financial	53.53	Between 30 to 60 million	53.69	28	Low	644	834	Slow	53.5	High
327	Financial	48.85	Between 30 to 60 million	51.13	13	Low	977	523	Slow	47.54	Low
328	Intellectual Property	64.52	More than 60 million	61.35	88	High	1761	620	Slow	50.11	High
329	Authentication Credentials	64.4	More than 60 million	58.09	69	High	1489	77	Fast	44.79	Low
330	Financial	64.01	More than 60 million	64.04	19	Low	732	386	Slow	52.91	High
331	Health	54.96	Between 30 to 60 million	58.09	47	Moderate	596	1083	Slow	53.4	High
332	Financial	31.44	Between 30 to 60 million	30.71	95	High	1102	446	Slow	49.29	Low
333	Financial	38.51	Between 30 to 60 million	37.85	69	High	161	772	Slow	47.6	Low
334	Authentication Credentials	66.92	More than 60 million	68.81	7	Low	969	150	Slow	58.96	High
335	Personal	43.75	Between 30 to 60 million	39.8	88	High	1159	367	Slow	53.81	High
336	Authentication Credentials	53.61	Between 30 to 60 million	58.09	36	Moderate	309	764	Slow	51.97	High
337	Identity	59.01	Between 30 to 60 million	58.09	36	Moderate	974	249	Slow	65.66	High
338	Authentication Credentials	58.06	Between 30 to 60 million	52.14	100	High	1256	2	Fast	51.15	High
339	Identity	58.39	Between 30 to 60 million	59.28	2	Low	597	417	Slow	57.58	High
340	Personal	49.13	Between 30 to 60 million	48.57	47	Moderate	733	697	Slow	52.75	High
341	Identity	47.67	Between 30 to 60 million	46.19	47	Moderate	739	907	Slow	63.08	High
342	Authentication Credentials	35.59	Between 30 to 60 million	33.09	47	Moderate	841	615	Slow	34.14	Low
343	Authentication Credentials	49.01	Between 30 to 60 million	46.19	47	Moderate	957	594	Slow	44.71	Low
344	Financial	46.7	Between 30 to 60 million	45.9	7	Low	612	550	Slow	47.83	Low
345	Intellectual Property	58.28	Between 30 to 60 million	56.9	28	Low	752	333	Slow	23.56	Low
346	Intellectual Property	45.08	Between 30 to 60 million	48.57	28	Low	646	888	Slow	46.89	Low
347	Authentication Credentials	59.52	Between 30 to 60 million	54.52	28	Low	980	297	Slow	44.46	Low
348	Health	59.23	Between 30 to 60 million	62.85	58	Moderate	851	313	Slow	44.13	Low
349	Financial	39.02	Between 30 to 60 million	34.28	80	High	805	1046	Slow	35.11	Low
350	Identity	32.79	Between 30 to 60 million	30.71	47	Moderate	619	711	Slow	56.31	High
351	Authentication Credentials	49.13	Between 30 to 60 million	48.57	13	Low	127	391	Slow	46.66	Low
352	Identity	33.51	Between 30 to 60 million	31.9	58	Moderate	1469	526	Slow	24.56	Low
353	Identity	41.94	Between 30 to 60 million	39.04	58	Moderate	1063	1012	Slow	43.33	Low
354	Authentication Credentials	50	Between 30 to 60 million	50	7	Low	644	371	Slow	49.06	Low
355	Health	49.74	Between 30 to 60 million	47.38	19	Low	771	930	Slow	33.65	Low
356	Financial	55.87	Between 30 to 60 million	48.57	19	Low	825	916	Slow	50.11	High
357	Personal	47.67	Between 30 to 60 million	46.19	4	Low	116	206	Slow	44.31	Low
358	Identity	62.04	More than 60 million	65.23	28	Low	174	911	Slow	66.22	High
359	Identity	59.96	Between 30 to 60 million	64.04	88	High	418	525	Slow	52.68	High
360	Identity	46.82	Between 30 to 60 million	42.62	36	Moderate	980	379	Slow	43.74	Low
361	Identity	39.46	Between 30 to 60 million	43.81	47	Moderate	859	723	Slow	38.02	Low
362	Financial	41.32	Between 30 to 60 million	40.23	36	Moderate	923	730	Slow	52.84	High
363	Authentication Credentials	30.53	Between 30 to 60 million	40.23	69	High	1119	503	Slow	53.17	High
364	Intellectual Property	64.4	More than 60 million	58.09	95	High	1210	625	Slow	47.52	Low
365	Authentication Credentials	33.29	Between 30 to 60 million	27.14	58	Moderate	708	799	Slow	38.99	Low
366	Financial	43.18	Between 30 to 60 million	36.66	95	High	525	1079	Slow	35.67	Low
367	Intellectual Property	56.49	Between 30 to 60 million	47.38	47	Moderate	526	149	Slow	47.6	Low
368	Identity	40.7	Between 30 to 60 million	41.42	95	High	974	79	Fast	42.52	Low
369	Intellectual Property	46.29	Between 30 to 60 million	48.34	28	Low	104	547	Slow	63	High
370	Financial	50	Between 30 to 60 million	50	7	Low	787	274	Slow	50	Low
371	Intellectual Property	39.24	Between 30 to 60 million	39.04	36	Moderate	417	994	Slow	33.91	Low
372	Personal	64.12	More than 60 million	66.43	36	Moderate	672	227	Slow	57.58	High
373	Intellectual Property	53.39	Between 30 to 60 million	53.33	2	Low	492	24	Fast	52.76	High
374	Personal	35.2	Between 30 to 60 million	39.04	47	Moderate	797	553	Slow	43.41	Low
375	Financial	39.86	Between 30 to 60 million	37.85	80	High	1548	358	Slow	44.46	Low
376	Intellectual Property	53.5	Between 30 to 60 million	55.71	7	Low	133	333	Slow	45.58	Low
377	Personal	45.81	Between 30 to 60 million	49.76	19	Low	834	821	Slow	49.46	Low
378	Identity	55.98	Between 30 to 60 million	50.95	95	High	1678	198	Slow	53.17	High
379	Identity	53.79	Between 30 to 60 million	47.38	2	Low	831	867	Slow	59.86	High
380	Personal	61.09	More than 60 million	59.28	13	Low	316	1085	Slow	71.86	High
381	Authentication Credentials	50	Between 30 to 60 million	50	7	Low	921	683	Slow	38.58	Low
382	Intellectual Property	58.5	Between 30 to 60 million	61.66	80	High	217	727	Slow	50.74	High
383	Intellectual Property	60.96	More than 60 million	56.87	28	Low	191	16	Fast	60.42	High
384	Identity	59.34	Between 30 to 60 million	65.23	19	Low	295	161	Slow	57.58	High
385	Identity	47.55	Between 30 to 60 million	43.81	4	Low	827	822	Slow	65.35	High
386	Intellectual Property	53.28	Between 30 to 60 million	50.95	95	High	465	502	Slow	39.22	Low
387	Identity	47.78	Between 30 to 60 million	48.57	58	Moderate	1513	848	Slow	46.81	Low
388	Personal	39.75	Between 30 to 60 million	35.47	7	Low	121	1017	Slow	47.68	Low
389	Financial	44.97	Between 30 to 60 million	46.19	47	Moderate	593	400	Slow	42.62	Low
390	Authentication Credentials	40.42	Between 30 to 60 million	49.76	19	Low	879	740	Slow	61.8	High
391	Identity	38.85	Between 30 to 60 million	45	95	High	99	15	Fast	66.37	High
392	Authentication Credentials	52.77	Between 30 to 60 million	54.52	80	High	704	109	Fast	47.04	Low
393	Financial	49.85	Between 30 to 60 million	49.76	36	Moderate	753	594	Slow	47.22	Low
394	Personal	49.74	Between 30 to 60 million	47.38	36	Moderate	990	259	Slow	43.33	Low
395	Identity	56.42	Between 30 to 60 million	60.47	47	Moderate	511	155	Slow	47.6	Low
396	Intellectual Property	59.96	Between 30 to 60 million	64.04	69	High	1124	182	Slow	41.8	Low
397	Health	34.58	Between 30 to 60 million	40.23	28	Low	163	619	Slow	66.78	High
398	Health	51.09	Between 30 to 60 million	47.38	80	High	1041	730	Slow	45.51	Low
399	Intellectual Property	54.3	Between 30 to 60 million	47.5	36	Moderate	366	94	Fast	50	Low
400	Financial	54.62	Between 30 to 60 million	50.54	13	Low	800	309	Slow	50	Low
401	Identity	52.63	Between 30 to 60 million	47.74	69	High	187	262	Slow	50	Low
402	Authentication Credentials	45.97	Between 30 to 60 million	43.54	19	Low	905	111	Fast	50	Low
403	Financial	50.56	Between 30 to 60 million	50	47	Moderate	682	187	Slow	50	Low
404	Personal	70.07	More than 60 million	64.55	36	Moderate	679	900	Slow	50	Low
405	Personal	41.31	Between 30 to 60 million	42.13	28	Low	353	735	Slow	50	Low
406	Authentication Credentials	53.93	Between 30 to 60 million	54.74	80	High	1444	584	Slow	50	Low
407	Identity	40.83	Between 30 to 60 million	43.19	100	High	1639	56	Fast	50	Low
408	Personal	54.62	Between 30 to 60 million	50.54	58	Moderate	1519	228	Slow	50	Low
409	Intellectual Property	66.55	More than 60 million	67.35	69	High	311	993	Slow	50	Low
410	Personal	34.35	Between 30 to 60 million	32.33	80	High	395	59	Fast	50	Low
411	Financial	37.94	Between 30 to 60 million	47.74	47	Moderate	510	8	Fast	50	Low
412	Intellectual Property	50.1	Between 30 to 60 million	51.94	28	Low	583	297	Slow	50	Low
413	Intellectual Property	44.29	Between 30 to 60 million	46.34	36	Moderate	241	712	Slow	50	Low
414	Authentication Credentials	53.93	Between 30 to 60 million	54.74	95	High	201	394	Slow	50	Low
415	Intellectual Property	67.09	More than 60 million	60.35	36	Moderate	348	290	Slow	50	Low
416	Intellectual Property	61.28	More than 60 million	54.74	69	High	540	805	Slow	50	Low
417	Financial	37.63	Between 30 to 60 million	42.13	95	High	541	335	Slow	50	Low
418	Identity	72.01	More than 60 million	77.63	95	High	1447	951	Slow	50	Low
419	Intellectual Property	43.45	Between 30 to 60 million	47.74	47	Moderate	118	583	Slow	50	Low
420	Financial	36.03	Between 30 to 60 million	29.53	69	High	1623	251	Slow	50	Low
421	Personal	49.5	Between 30 to 60 million	40.73	19	Low	566	873	Slow	50	Low
422	Financial	50	Between 30 to 60 million	50	100	High	1777	846	Slow	50	Low
423	Personal	41.85	Between 30 to 60 million	35.13	47	Moderate	737	1051	Slow	50	Low
424	Intellectual Property	54.5	Between 30 to 60 million	50.37	19	Low	899	886	Slow	50	Low
425	Personal	70.59	More than 60 million	70.46	88	High	1159	943	Slow	50	Low
426	Financial	32.81	Between 30 to 60 million	37.93	69	High	1630	518	Slow	50	Low
427	Authentication Credentials	40.46	Between 30 to 60 million	43.54	13	Low	791	476	Slow	50	Low
428	Authentication Credentials	55.76	Between 30 to 60 million	54.74	28	Low	614	162	Slow	50	Low
429	Authentication Credentials	54.62	Between 30 to 60 million	50.54	69	High	1263	669	Slow	50	Low
430	Identity	51.79	Between 30 to 60 million	49.14	36	Moderate	796	532	Slow	50	Low
431	Personal	43.14	Between 30 to 60 million	42.13	19	Low	192	1070	Slow	50	Low
432	Personal	43.99	Between 30 to 60 million	40.73	95	High	533	1078	Slow	50	Low
433	Intellectual Property	45.82	Between 30 to 60 million	40.73	58	Moderate	985	199	Slow	50	Low
434	Identity	46.13	Between 30 to 60 million	46.34	69	High	1240	551	Slow	50	Low
435	Financial	61.12	More than 60 million	51.94	19	Low	279	613	Slow	50	Low
436	Financial	45.13	Between 30 to 60 million	44.94	7	Low	149	429	Slow	50	Low
437	Identity	42.15	Between 30 to 60 million	40.73	13	Low	711	672	Slow	50	Low
438	Health	51.25	Between 30 to 60 million	56.14	95	High	1393	621	Slow	50	Low
439	Identity	55.07	Between 30 to 60 million	58.94	95	High	1640	456	Slow	50	Low
440	Identity	52.63	Between 30 to 60 million	47.74	7	Low	129	451	Slow	50	Low
441	Authentication Credentials	39.62	Between 30 to 60 million	44.94	28	Low	160	166	Slow	50	Low
442	Financial	44.68	Between 30 to 60 million	36.53	69	High	1714	613	Slow	50	Low
443	Intellectual Property	57.45	Between 30 to 60 million	51.94	69	High	290	960	Slow	50	Low
444	Authentication Credentials	51.24	Between 30 to 60 million	45.78	4	Low	983	2	Fast	50	Low
445	Financial	24.71	Less than 30 million	23.92	28	Low	563	93	Fast	50	Low
446	Health	35.49	Between 30 to 60 million	36.53	69	High	615	952	Slow	50	Low
447	Health	53.58	Between 30 to 60 million	50.4	2	Low	577	627	Slow	46.21	Low
448	Intellectual Property	56.58	Between 30 to 60 million	61.01	69	High	497	326	Slow	52.68	High
449	Personal	50.8	Between 30 to 60 million	40.15	88	High	928	128	Slow	28.8	Low
450	Intellectual Property	40.76	Between 30 to 60 million	50.58	58	Moderate	773	855	Slow	48.79	Low
451	Intellectual Property	57.93	Between 30 to 60 million	55.05	69	High	1664	834	Slow	43.85	Low
452	Financial	59.55	Between 30 to 60 million	55.05	58	Moderate	1503	972	Slow	45.12	Low
453	Intellectual Property	41.91	Between 30 to 60 million	44.29	28	Low	337	866	Slow	61.83	High
454	Identity	57.85	Between 30 to 60 million	54.9	95	High	368	660	Slow	50.04	High
455	Authentication Credentials	52.21	Between 30 to 60 million	53.56	88	High	1026	90	Fast	47.53	Low
456	Financial	33.76	Between 30 to 60 million	38.66	95	High	1780	846	Slow	43.43	Low
457	Health	59.68	Between 30 to 60 million	58.03	28	Low	899	470	Slow	61.21	High
458	Intellectual Property	52.07	Between 30 to 60 million	50.58	88	High	228	456	Slow	49.01	Low
459	Health	63.05	More than 60 million	61.01	80	High	815	222	Slow	63.62	High
460	Identity	41.84	Between 30 to 60 million	38.66	80	High	1513	827	Slow	68.61	High
461	Identity	32.61	Between 30 to 60 million	31.21	0	Low	237	126	Slow	48.34	Low
462	Financial	50.72	Between 30 to 60 million	56.54	13	Low	283	339	Slow	51.97	High
463	Personal	49.58	Between 30 to 60 million	49.09	47	Moderate	146	912	Slow	50.55	High
464	Intellectual Property	58.07	Between 30 to 60 million	58.03	95	High	749	1020	Slow	52.25	High
465	Intellectual Property	54.57	Between 30 to 60 million	52.07	19	Low	344	302	Slow	51.9	High
466	Personal	24.66	Less than 30 million	34.19	80	High	1017	494	Slow	44.35	Low
467	Intellectual Property	31.26	Between 30 to 60 million	37.17	80	High	484	373	Slow	48.91	Low
468	Identity	52.34	Between 30 to 60 million	56.54	95	High	742	473	Slow	49.33	Low
469	Financial	48.57	Between 30 to 60 million	44.62	19	Low	534	74	Fast	55.08	High
470	Health	56.45	Between 30 to 60 million	58.03	100	High	574	169	Slow	48.19	Low
471	Financial	50.32	Between 30 to 60 million	47.6	80	High	552	176	Slow	49.65	Low
472	Authentication Credentials	56.92	Between 30 to 60 million	50.58	19	Low	288	262	Slow	49.17	Low
473	Financial	45.07	Between 30 to 60 million	38.66	58	Moderate	790	135	Slow	38.77	Low
474	Identity	66.68	More than 60 million	69.95	80	High	406	353	Slow	44.13	Low
475	Authentication Credentials	50.93	Between 30 to 60 million	43.13	47	Moderate	113	466	Slow	58.49	High
476	Financial	50.72	Between 30 to 60 million	56.54	95	High	1429	1056	Slow	57.54	High
477	Identity	61.91	More than 60 million	53.56	7	Low	463	257	Slow	60.5	High
478	Identity	55.17	Between 30 to 60 million	47.6	88	High	1638	352	Slow	54.42	High
479	Personal	42.72	Between 30 to 60 million	40.15	47	Moderate	574	258	Slow	45.84	Low
480	Authentication Credentials	33.01	Between 30 to 60 million	40.15	36	Moderate	439	1057	Slow	52.62	High
481	Identity	35.57	Between 30 to 60 million	44.5	28	Low	794	750	Slow	35.43	Low
482	Intellectual Property	49.46	Between 30 to 60 million	44.29	28	Low	171	105	Fast	49.29	Low
483	Identity	64.93	More than 60 million	66.97	19	Low	247	722	Slow	49.6	Low
484	Authentication Credentials	57.06	Between 30 to 60 million	53.56	69	High	951	845	Slow	48.68	Low
485	Personal	51.94	Between 30 to 60 million	47.6	58	Moderate	856	603	Slow	50.2	High
486	Health	45.74	Between 30 to 60 million	53.56	100	High	831	1087	Slow	57.01	High
487	Financial	44.75	Between 30 to 60 million	39.26	88	High	663	817	Slow	46.87	Low
488	Identity	36.72	Between 30 to 60 million	32.7	69	High	1135	720	Slow	50.93	High
489	Personal	43.59	Between 30 to 60 million	41.64	95	High	1429	804	Slow	50.59	High
490	Financial	36.11	Between 30 to 60 million	37.17	28	Low	594	501	Slow	41.46	Low
491	Financial	35.98	Between 30 to 60 million	34.19	58	Moderate	1254	778	Slow	41.83	Low
492	Personal	46.22	Between 30 to 60 million	46.11	58	Moderate	1090	1077	Slow	27.7	Low
493	Health	36.59	Between 30 to 60 million	29.72	13	Low	167	863	Slow	57.83	High
494	Financial	50	Between 30 to 60 million	50	48	Moderate	686	574	Slow	55.88	High
495	Identity	57.95	Between 30 to 60 million	59.11	80	High	1113	1057	Slow	62.02	High
496	Authentication Credentials	35.7	Between 30 to 60 million	38.22	28	Low	116	682	Slow	41.86	Low
497	Identity	60.92	More than 60 million	59.11	69	High	1752	543	Slow	49.7	Low
498	Financial	37.51	Between 30 to 60 million	34.88	28	Low	116	882	Slow	38.28	Low
499	Identity	37.68	Between 30 to 60 million	37.39	13	Low	873	163	Slow	46.68	Low
500	Financial	46.89	Between 30 to 60 million	44.9	88	High	363	359	Slow	44.64	Low
