event_ID	fin_loss	data_type	num_people	num_people_v2	num_records	per_sensitive	per_sensitive_v2	dys_impact	dys_detect	cost_controls
342	43.99	Authentication Credentials	35.59	Between 30 to 60 million	33.09	47	Low	841	615	34.14
343	40.7	Authentication Credentials	49.01	Between 30 to 60 million	46.19	47	Low	957	594	44.71
344	30.89	Financial	46.7	Between 30 to 60 million	45.9	7	Low	612	550	47.83
345	57.04	Intellectual Property	58.28	Between 30 to 60 million	56.9	28	Low	752	333	23.56
346	56.47	Intellectual Property	45.08	Between 30 to 60 million	48.57	28	Low	646	888	46.89
347	32.08	Authentication Credentials	59.52	Between 30 to 60 million	54.52	28	Low	980	297	44.46
348	65.38	Health	59.23	Between 30 to 60 million	62.85	58	High	851	313	44.13
349	36.56	Financial	39.02	Between 30 to 60 million	34.28	80	High	805	1046	35.11
350	54.38	Identity	32.79	Between 30 to 60 million	30.71	47	Low	619	711	56.31
351	34.46	Authentication Credentials	49.13	Between 30 to 60 million	48.57	13	Low	127	391	46.66
352	54.09	Identity	33.51	Between 30 to 60 million	31.9	58	High	1469	526	24.56
353	51.71	Identity	41.94	Between 30 to 60 million	39.04	58	High	1063	1012	43.33
354	50	Authentication Credentials	50	Between 30 to 60 million	50	7	Low	644	371	49.06
355	65.38	Health	49.74	Between 30 to 60 million	47.38	19	Low	771	930	33.65
356	49.04	Financial	55.87	Between 30 to 60 million	48.57	19	Low	825	916	50.11
357	46.94	Personal	47.67	Between 30 to 60 million	46.19	4	Low	116	206	44.31
358	52.9	Identity	62.04	More than 60 million	65.23	28	Low	174	911	66.22
359	55.57	Identity	59.96	Between 30 to 60 million	64.04	88	High	418	525	52.68
360	54.09	Identity	46.82	Between 30 to 60 million	42.62	36	Low	980	379	43.74
361	51.71	Identity	39.46	Between 30 to 60 million	43.81	47	Low	859	723	38.02
362	47.85	Financial	41.32	Between 30 to 60 million	40.23	36	Low	923	730	52.84
363	47.85	Authentication Credentials	30.53	Between 30 to 60 million	40.23	69	High	1119	503	53.17
364	56.47	Intellectual Property	64.4	More than 60 million	58.09	95	High	1210	625	47.52
365	32.08	Authentication Credentials	33.29	Between 30 to 60 million	27.14	58	High	708	799	38.99
366	47.85	Financial	43.18	Between 30 to 60 million	36.66	95	High	525	1079	35.67
367	61.52	Intellectual Property	56.49	Between 30 to 60 million	47.38	47	Low	526	149	47.6
368	53.19	Identity	40.7	Between 30 to 60 million	41.42	95	High	974	79	42.52
369	61.81	Intellectual Property	46.29	Between 30 to 60 million	48.34	28	Low	104	547	63
370	50	Financial	50	Between 30 to 60 million	50	7	Low	787	274	50
371	60.62	Intellectual Property	39.24	Between 30 to 60 million	39.04	36	Low	417	994	33.91
372	49.04	Personal	64.12	More than 60 million	66.43	36	Low	672	227	57.58
373	60.33	Intellectual Property	53.39	Between 30 to 60 million	53.33	2	Low	492	24	52.76
374	33.27	Personal	35.2	Between 30 to 60 million	39.04	47	Low	797	553	43.41
375	49.33	Financial	39.86	Between 30 to 60 million	37.85	80	High	1548	358	44.46
376	55.85	Intellectual Property	53.5	Between 30 to 60 million	55.71	7	Low	133	333	45.58
377	44.28	Personal	45.81	Between 30 to 60 million	49.76	19	Low	834	821	49.46
378	54.38	Identity	55.98	Between 30 to 60 million	50.95	95	High	1678	198	53.17
379	51.99	Identity	53.79	Between 30 to 60 million	47.38	2	Low	831	867	59.86
380	39.8	Personal	61.09	More than 60 million	59.28	13	Low	316	1085	71.86
381	50	Authentication Credentials	50	Between 30 to 60 million	50	7	Low	921	683	38.58
382	57.95	Intellectual Property	58.5	Between 30 to 60 million	61.66	80	High	217	727	50.74
383	58.86	Intellectual Property	60.96	More than 60 million	56.87	28	Low	191	16	60.42
384	55.28	Identity	59.34	Between 30 to 60 million	65.23	19	Low	295	161	57.58
385	51.99	Identity	47.55	Between 30 to 60 million	43.81	4	Low	827	822	65.35
386	56.47	Intellectual Property	53.28	Between 30 to 60 million	50.95	95	High	465	502	39.22
387	53.19	Identity	47.78	Between 30 to 60 million	48.57	58	High	1513	848	46.81
388	23.46	Personal	39.75	Between 30 to 60 million	35.47	7	Low	121	1017	47.68
389	36.85	Financial	44.97	Between 30 to 60 million	46.19	47	Low	593	400	42.62
390	45.75	Authentication Credentials	40.42	Between 30 to 60 million	49.76	19	Low	879	740	61.8
391	54.38	Identity	38.85	Between 30 to 60 million	45	95	High	99	15	66.37
392	48.14	Authentication Credentials	52.77	Between 30 to 60 million	54.52	80	High	704	109	47.04
393	41.9	Financial	49.85	Between 30 to 60 million	49.76	36	Low	753	594	47.22
394	49.33	Personal	49.74	Between 30 to 60 million	47.38	36	Low	990	259	43.33
395	50.8	Identity	56.42	Between 30 to 60 million	60.47	47	Low	511	155	47.6
396	61.52	Intellectual Property	59.96	Between 30 to 60 million	64.04	69	High	1124	182	41.8
397	66.57	Health	34.58	Between 30 to 60 million	40.23	28	Low	163	619	66.78
398	65.38	Health	51.09	Between 30 to 60 million	47.38	80	High	1041	730	45.51
399	55.95	Intellectual Property	54.3	Between 30 to 60 million	47.5	36	Low	366	94	50
400	47.72	Financial	54.62	Between 30 to 60 million	50.54	13	Low	800	309	50
401	55.63	Identity	52.63	Between 30 to 60 million	47.74	69	High	187	262	50
402	44.46	Authentication Credentials	45.97	Between 30 to 60 million	43.54	19	Low	905	111	50
403	43.46	Financial	50.56	Between 30 to 60 million	50	47	Low	682	187	50
404	36.23	Personal	70.07	More than 60 million	64.55	36	Low	679	900	50
405	48.41	Personal	41.31	Between 30 to 60 million	42.13	28	Low	353	735	50
406	49.04	Authentication Credentials	53.93	Between 30 to 60 million	54.74	80	High	1444	584	50
407	52.68	Identity	40.83	Between 30 to 60 million	43.19	100	High	1639	56	50
408	41.82	Personal	54.62	Between 30 to 60 million	50.54	58	High	1519	228	50
409	60.91	Intellectual Property	66.55	More than 60 million	67.35	69	High	311	993	50
410	39.19	Personal	34.35	Between 30 to 60 million	32.33	80	High	395	59	50
411	41.82	Financial	37.94	Between 30 to 60 million	47.74	47	Low	510	8	50
412	58.27	Intellectual Property	50.1	Between 30 to 60 million	51.94	28	Low	583	297	50
413	56.95	Intellectual Property	44.29	Between 30 to 60 million	46.34	36	Low	241	712	50
414	46.09	Authentication Credentials	53.93	Between 30 to 60 million	54.74	95	High	201	394	50
415	58.27	Intellectual Property	67.09	More than 60 million	60.35	36	Low	348	290	50
416	58.27	Intellectual Property	61.28	More than 60 million	54.74	69	High	540	805	50
417	22.74	Financial	37.63	Between 30 to 60 million	42.13	95	High	541	335	50
418	52.68	Identity	72.01	More than 60 million	77.63	95	High	1447	951	50
419	56.95	Intellectual Property	43.45	Between 30 to 60 million	47.74	47	Low	118	583	50
420	32.59	Financial	36.03	Between 30 to 60 million	29.53	69	High	1623	251	50
421	39.19	Personal	49.5	Between 30 to 60 million	40.73	19	Low	566	873	50
422	50	Financial	50	Between 30 to 60 million	50	100	High	1777	846	50
423	47.41	Personal	41.85	Between 30 to 60 million	35.13	47	Low	737	1051	50
424	62.22	Intellectual Property	54.5	Between 30 to 60 million	50.37	19	Low	899	886	50
425	50	Personal	70.59	More than 60 million	70.46	88	High	1159	943	50
426	43.46	Financial	32.81	Between 30 to 60 million	37.93	69	High	1630	518	50
427	40.5	Authentication Credentials	40.46	Between 30 to 60 million	43.54	13	Low	791	476	50
428	46.41	Authentication Credentials	55.76	Between 30 to 60 million	54.74	28	Low	614	162	50
429	47.72	Authentication Credentials	54.62	Between 30 to 60 million	50.54	69	High	1263	669	50
430	55.63	Identity	51.79	Between 30 to 60 million	49.14	36	Low	796	532	50
431	39.19	Personal	43.14	Between 30 to 60 million	42.13	19	Low	192	1070	50
432	38.87	Personal	43.99	Between 30 to 60 million	40.73	95	High	533	1078	50
433	57.27	Intellectual Property	45.82	Between 30 to 60 million	40.73	58	High	985	199	50
434	55.32	Identity	46.13	Between 30 to 60 million	46.34	69	High	1240	551	50
435	36.55	Financial	61.12	More than 60 million	51.94	19	Low	279	613	50
436	33.91	Financial	45.13	Between 30 to 60 million	44.94	7	Low	149	429	50
437	54.32	Identity	42.15	Between 30 to 60 million	40.73	13	Low	711	672	50
438	64.86	Health	51.25	Between 30 to 60 million	56.14	95	High	1393	621	50
439	51.68	Identity	55.07	Between 30 to 60 million	58.94	95	High	1640	456	50
440	52.68	Identity	52.63	Between 30 to 60 million	47.74	7	Low	129	451	50
441	43.46	Authentication Credentials	39.62	Between 30 to 60 million	44.94	28	Low	160	166	50
442	47.41	Financial	44.68	Between 30 to 60 million	36.53	69	High	1714	613	50
443	56.64	Intellectual Property	57.45	Between 30 to 60 million	51.94	69	High	290	960	50
444	23.74	Authentication Credentials	51.24	Between 30 to 60 million	45.78	4	Low	983	2	50
445	33.91	Financial	24.71	Less than 30 million	23.92	28	Low	563	93	50
446	63.86	Health	35.49	Between 30 to 60 million	36.53	69	High	615	952	50
447	67.04	Health	53.58	Between 30 to 60 million	50.4	2	Low	577	627	46.21
448	60.67	Intellectual Property	56.58	Between 30 to 60 million	61.01	69	High	497	326	52.68
449	36.96	Personal	50.8	Between 30 to 60 million	40.15	88	High	928	128	28.8
450	62.17	Intellectual Property	40.76	Between 30 to 60 million	50.58	58	High	773	855	48.79
451	59.45	Intellectual Property	57.93	Between 30 to 60 million	55.05	69	High	1664	834	43.85
452	37.89	Financial	59.55	Between 30 to 60 million	55.05	58	High	1503	972	45.12
453	61.88	Intellectual Property	41.91	Between 30 to 60 million	44.29	28	Low	337	866	61.83
454	55.8	Identity	57.85	Between 30 to 60 million	54.9	95	High	368	660	50.04
455	48.5	Authentication Credentials	52.21	Between 30 to 60 million	53.56	88	High	1026	90	47.53
456	48.2	Financial	33.76	Between 30 to 60 million	38.66	95	High	1780	846	43.43
457	69.48	Health	59.68	Between 30 to 60 million	58.03	28	Low	899	470	61.21
458	56.72	Intellectual Property	52.07	Between 30 to 60 million	50.58	88	High	228	456	49.01
459	64.61	Health	63.05	More than 60 million	61.01	80	High	815	222	63.62
460	54	Identity	41.84	Between 30 to 60 million	38.66	80	High	1513	827	68.61
461	50.06	Identity	32.61	Between 30 to 60 million	31.21	0	Low	237	126	48.34
462	49.42	Financial	50.72	Between 30 to 60 million	56.54	13	Low	283	339	51.97
463	47.91	Personal	49.58	Between 30 to 60 million	49.09	47	Low	146	912	50.55
464	61.88	Intellectual Property	58.07	Between 30 to 60 million	58.03	95	High	749	1020	52.25
465	58.52	Intellectual Property	54.57	Between 30 to 60 million	52.07	19	Low	344	302	51.9
466	35.74	Personal	24.66	Less than 30 million	34.19	80	High	1017	494	44.35
467	57.94	Intellectual Property	31.26	Between 30 to 60 million	37.17	80	High	484	373	48.91
468	55.8	Identity	52.34	Between 30 to 60 million	56.54	95	High	742	473	49.33
469	43.63	Financial	48.57	Between 30 to 60 million	44.62	19	Low	534	74	55.08
470	70.69	Health	56.45	Between 30 to 60 million	58.03	100	High	574	169	48.19
471	43.05	Financial	50.32	Between 30 to 60 million	47.6	80	High	552	176	49.65
472	39.39	Authentication Credentials	56.92	Between 30 to 60 million	50.58	19	Low	288	262	49.17
473	41.83	Financial	45.07	Between 30 to 60 million	38.66	58	High	790	135	38.77
474	55.8	Identity	66.68	More than 60 million	69.95	80	High	406	353	44.13
475	44.26	Authentication Credentials	50.93	Between 30 to 60 million	43.13	47	Low	113	466	58.49
476	46.99	Financial	50.72	Between 30 to 60 million	56.54	95	High	1429	1056	57.54
477	50.64	Identity	61.91	More than 60 million	53.56	7	Low	463	257	60.5
478	51.86	Identity	55.17	Between 30 to 60 million	47.6	88	High	1638	352	54.42
479	44.55	Personal	42.72	Between 30 to 60 million	40.15	47	Low	574	258	45.84
480	25.42	Authentication Credentials	33.01	Between 30 to 60 million	40.15	36	Low	439	1057	52.62
481	52.82	Identity	35.57	Between 30 to 60 million	44.5	28	Low	794	750	35.43
482	59.45	Intellectual Property	49.46	Between 30 to 60 million	44.29	28	Low	171	105	49.29
483	51.86	Identity	64.93	More than 60 million	66.97	19	Low	247	722	49.6
484	44.26	Authentication Credentials	57.06	Between 30 to 60 million	53.56	69	High	951	845	48.68
485	37.89	Personal	51.94	Between 30 to 60 million	47.6	58	High	856	603	50.2
486	65.83	Health	45.74	Between 30 to 60 million	53.56	100	High	831	1087	57.01
487	47.91	Financial	44.75	Between 30 to 60 million	39.26	88	High	663	817	46.87
488	54.29	Identity	36.72	Between 30 to 60 million	32.7	69	High	1135	720	50.93
489	40.32	Personal	43.59	Between 30 to 60 million	41.64	95	High	1429	804	50.59
490	35.74	Financial	36.11	Between 30 to 60 million	37.17	28	Low	594	501	41.46
491	45.48	Financial	35.98	Between 30 to 60 million	34.19	58	High	1254	778	41.83
492	37.89	Personal	46.22	Between 30 to 60 million	46.11	58	High	1090	1077	27.7
493	65.83	Health	36.59	Between 30 to 60 million	29.72	13	Low	167	863	57.83
494	50	Financial	50	Between 30 to 60 million	50	48	Low	686	574	55.88
495	54.54	Identity	57.95	Between 30 to 60 million	59.11	80	High	1113	1057	62.02
496	49.03	Authentication Credentials	35.7	Between 30 to 60 million	38.22	28	Low	116	682	41.86
497	53.53	Identity	60.92	More than 60 million	59.11	69	High	1752	543	49.7
498	24.21	Financial	37.51	Between 30 to 60 million	34.88	28	Low	116	882	38.28
499	53.05	Identity	37.68	Between 30 to 60 million	37.39	13	Low	873	163	46.68
500	36.5	Financial	46.89	Between 30 to 60 million	44.9	88	High	363	359	44.64
