"charset","server","content_length","tcp_conversation_exchange","remote_ips","app_packets","dns_query_times","freq","app_packets_v2"
"utf-8","other",10527,75,16,79,4,0,"high"
"iso-8859-1","Apache",213,11,1,15,4,21,"low"
"us-ascii","Microsoft",324,2,1,2,0,5,"low"
"us-ascii","Microsoft",324,16,2,22,6,27,"medium"
"iso-8859-1","Apache",4897,47,8,51,4,13,"high"
"iso-8859-1","nginx",8521,8,6,8,0,27,"low"
"us-ascii","Microsoft",324,5,2,5,0,0,"low"
"iso-8859-1","Apache",9101,20,5,28,8,28,"medium"
"us-ascii","Microsoft",324,31,6,37,6,0,"medium"
"utf-8","other",53520,45,5,49,4,10,"medium"
"utf-8","nginx",2034,22,7,26,4,35,"medium"
"utf-8","other",34930,29,3,33,4,19,"medium"
"iso-8859-1","Apache",5866,9,3,15,6,33,"low"
"iso-8859-1","nginx",162,24,7,28,4,40,"medium"
"utf-8","Apache",11323,25,5,29,4,24,"medium"
"utf-8","other",11243,11,7,11,0,0,"low"
"utf-8","Apache",8364,37,8,43,6,26,"medium"
"utf-8","other",27976,7,3,7,0,0,"low"
"utf-8","Apache",3500,30,9,30,0,0,"medium"
"iso-8859-1","other",13747,20,2,26,6,28,"medium"
"utf-8","other",14291,67,10,71,4,1,"high"
"utf-8","other",15187,26,1,32,6,2,"medium"
"utf-8","Microsoft",9083,14,5,20,6,20,"high"
"us-ascii","Microsoft",324,17,10,21,4,0,"medium"
"utf-8","nginx",30824,17,2,23,6,47,"medium"
"utf-8","Microsoft",9084,8,1,8,0,0,"low"
"utf-8","other",13776,20,8,24,4,9,"medium"
"utf-8","Apache",33799,84,4,90,6,0,"high"
"us-ascii","Microsoft",324,6,5,6,0,0,"low"
"utf-8","Microsoft",246324,7,2,7,0,0,"low"
"utf-8","nginx",0,6,2,6,0,36,"low"
"utf-8","other",37836,55,14,59,4,0,"high"
"utf-8","Apache",19856,73,6,79,6,0,"high"
"utf-8","nginx",40605,7,4,7,0,28,"low"
"iso-8859-1","Apache",392,7,3,7,0,7,"low"
"utf-8","nginx",19793,38,9,42,4,39,"medium"
"utf-8","other",38155,39,2,43,4,19,"medium"
"utf-8","Apache",9406,13,6,17,4,19,"low"
"utf-8","Microsoft",9084,16,6,22,6,17,"medium"
"utf-8","Apache",11363,47,6,55,8,23,"high"
"iso-8859-1","Microsoft",16479,41,6,49,8,0,"medium"
"utf-8","Apache",58,11,3,19,8,43,"low"
"utf-8","Apache",8404,20,6,26,6,18,"medium"
"iso-8859-1","nginx",162,12,3,14,2,40,"low"
"us-ascii","Microsoft",324,8,4,8,0,0,"low"
"iso-8859-1","other",9,5,3,5,0,0,"low"
"utf-8","Apache",8755,3,2,3,0,15,"low"
"utf-8","Apache",8762,3,2,3,0,15,"low"
"utf-8","Apache",7778,19,4,23,4,21,"medium"
"us-ascii","Microsoft",324,40,7,46,6,0,"medium"
"utf-8","nginx",6730,22,9,28,6,36,"medium"
"utf-8","Apache",12588,4,2,4,0,10,"low"
"iso-8859-1","Microsoft",2346,19,5,23,4,2,"medium"
"utf-8","Apache",14060,35,12,43,8,14,"medium"
"utf-8","nginx",5272,27,2,29,2,45,"medium"
"utf-8","Microsoft",4678,32,6,38,6,5,"medium"
"utf-8","other",11833,62,3,68,6,20,"high"
"utf-8","nginx",27131,61,6,69,8,0,"high"
"utf-8","Apache",54473,47,2,51,4,24,"high"
"us-ascii","Microsoft",257,4,2,4,0,1,"low"
"iso-8859-1","Apache",11230,22,3,26,4,23,"medium"
"utf-8","Apache",26857,39,4,43,4,19,"medium"
"utf-8","Apache",14060,18,9,18,0,0,"low"
"utf-8","Apache",75176,7,5,7,0,0,"low"
"us-ascii","Microsoft",324,18,4,24,6,6,"medium"
"utf-8","Apache",15058,54,5,60,6,25,"high"
"utf-8","Apache",25886,6,2,6,0,8,"low"
"iso-8859-1","Apache",22264,8,3,12,4,19,"low"
"utf-8","Apache",12027,13,7,17,4,18,"low"
"iso-8859-1","other",16230,7,3,7,0,0,"low"
"utf-8","Apache",10315,13,3,19,6,30,"low"
"us-ascii","Microsoft",324,24,4,28,4,16,"medium"
"utf-8","Apache",6804,20,1,24,4,29,"medium"
"us-ascii","Microsoft",324,73,3,77,4,16,"high"
"utf-8","Apache",100163,15,6,19,4,11,"low"
"utf-8","other",6121,23,8,23,0,0,"medium"
"iso-8859-1","Apache",892,21,7,23,2,7,"medium"
"utf-8","Apache",20,11,2,15,4,29,"low"
"utf-8","Apache",5268,20,4,22,2,17,"medium"
"utf-8","Microsoft",9032,2,1,2,0,1,"low"
"utf-8","Apache",6244,10,4,16,6,33,"low"
"utf-8","Apache",29840,4,2,4,0,7,"low"
"utf-8","Apache",52552,9,5,9,0,1,"low"
"utf-8","Apache",35170,47,8,51,4,11,"high"
"iso-8859-1","Apache",3929,70,6,74,4,15,"high"
"iso-8859-1","other",374,6,2,6,0,0,"low"
"utf-8","Apache",14060,21,4,25,4,24,"medium"
"utf-8","nginx",11833,29,8,33,4,15,"medium"
"iso-8859-1","Apache",417,7,2,7,0,2,"low"
"iso-8859-1","Microsoft",4890,22,7,30,8,16,"medium"
"utf-8","Apache",8904,83,6,87,4,14,"high"
"utf-8","Microsoft",24435,19,11,25,6,0,"medium"
